Title,Date,Platform,Duration,Genre,Rating
Sicario,06-Jan,Netflix,121,Thriller,4
Wind River,07-Jan,Netflix,107,Crime,4
Collateral,07-Jan,Netflix,120,Thriller,3
Inside Man,14-Jan,Netflix,129,Thriller,4
Ocean’s Eleven,16-Jan,Netflix,116,Crime,3
Babylon,19-Jan,Cinema,189,Drama,5
Lone Survivor,20-Jan,Netflix,121,War,3
Freaks,26-Jan,Netflix,105,SciFi,3
Kingsman,27-Jan,Apple TV,129,Action,3
Time Share,31-Jan,Netflix,96,Drama,3
See you yesterday,02-Feb,Netflix,87,SciFi,3
Once upon a time in Hollywood,03-Feb,Prime,161,Drama,5
Awake,09-Feb,Netflix,96,SciFi,2
Fargo,10-Feb,Prime,98,Crime,4
Fantastic Mr. Fox,11-Feb,Apple TV,87,Animation,3
Nocturnal Animals,19-Feb,Prime,116,Thriller,4
Mosul,21-Feb,Netflix,101,War,3
Signs,04-Mar,Apple TV,106,SciFi,4
The Big Short,19-Mar,Prime,130,Drama,3
Everything Everywhere All at Once,24-Mar,Apple TV,139,Drama,5
Wind River,25-Mar,Netflix,107,Crime,4
The Bourne Identity,08-Apr,Prime,119,Thriller,3
Cam,13-Apr,Netflix,95,Horror,2
The Bourne Supremacy,15-Apr,Prime,108,Thriller,3
It Follows,28-Apr,Apple TV,100,Horror,4
Ponniyin Selvan 2,30-Apr,Cinema,164,Drama,3
A Quire Place,09-May,Apple TV,120,Horror,3
Seven,13-May,Netflix,122,Thriller,5
The House that Jack Built,26-May,Prime,155,Horror,4
Scary Stories to Tell in the Dark,28-May,Netflix,108,Horror,3
Crimes of the Future,31-May,Apple TV,107,Horror,4
Carnage,03-Jun,Apple TV,80,Comedy,4
Bowlinf for Columbine,18-Jun,Apple TV,120,Documentary,4
Little Miss Sunshine,20-Jun,Prime,102,Comedy,4
